200901  3- 4+ 3- 3o  3o 4o 3- 3o   25+ D5* 18 1.0
200902  3- 2+ 2o 3-  3- 2+ 2- 2-   18o      9 0.5
200903  0o 0o 1o 1-  1+ 1- 0+ 2-    6- Q9   3 0.1
200904  3- 1+ 1+ 2o  2o 2- 2+ 0+   14-      7 0.3
200905  2- 1+ 2- 2o  2- 0+ 1o 1o   11-      5 0.2
200906  2o 1o 0+ 1o  1o 0+ 1- 2-    8o      4 0.1
200907  1o 1+ 1+ 1-  1- 1o 0+ 0o    6+ Q0   3 0.1
200908  1- 0+ 1o 1o  1- 1+ 1o 0o    6o Q8   3 0.1
200909  1- 0o 0o 0o  0o 0+ 0o 0o    1o Q1   1 0.0
200910  0o 0o 0o 0+  0+ 0+ 1o 0+    2+ Q2   2 0.0
200911  0o 0o 0+ 0+  0o 1- 1o 1o    3+ Q4   2 0.0
200912  1+ 1+ 2o 1+  0+ 1- 1+ 1o    9+      4 0.2
200913  1o 1+ 1+ 0+  1+ 2- 1+ 3o   11+      6 0.3
200914  3+ 3+ 2+ 3-  3o 1o 1- 2o   18+     11 0.6
200915  2+ 2o 1+ 1+  0+ 1- 1+ 1+   11-      5 0.2
200916  0o 0+ 1o 1o  0o 1o 1o 0+    5- Q6   2 0.0
200917  0o 0+ 1+ 1-  0+ 0o 0+ 1+    4+ Q7   2 0.0
200918  1o 0+ 0o 1-  2- 2- 1+ 0o    7-      3 0.1
200919  0o 1o 1- 0+  0o 1- 1o 0o    4- Q5   2 0.0
200920  0o 0o 0o 2+  1o 1- 1- 1+    6o      3 0.1
200921  0+ 0+ 0o 0+  0+ 0o 1o 1-    3o Q3   2 0.0
200922  1+ 3- 2o 2-  1- 1- 1- 1-   10+      5 0.2
200923  2- 1o 2- 2-  4- 2o 4- 2+   18-     10 0.6
200924  3o 3+ 6- 4-  3+ 3o 0+ 1+   24- D3  20 1.0
200925  3o 3+ 3- 2+  1+ 4+ 3o 4o   24o     17 0.9
200926  4o 5- 4- 4o  5- 3- 2o 3+   29o D2  24 1.2
200927  2+ 4o 2- 2-  2- 3- 5- 5+   24o D4  20 1.0
200928  5- 5- 4o 3+  4- 4o 5- 5o   34o D1  32 1.3
200929  4o 3+ 3+ 3-  3- 3o 3- 3+   25o     16 0.9
200930  4o 4- 3o 3-  2o 2- 3+ 3+   24-     16 0.9
2009                                  Mean  9 0.40

2009 Q  9  10  21  11  19  16  17   8   3   7 
2009 D 28  26  24  27   1*
