201201  1o 0o 0o 0o  0o 0+ 0+ 1-    2+ Q5   1 0.0
201202  1+ 0+ 1+ 1-  0o 1- 1- 1-    6- Q0   3 0.1
201203  0o 0o 0o 0+  1o 2- 0+ 0+    4- Q8   2 0.0
201204  0o 0o 0o 0o  0o 0+ 0o 0o    0+ Q1   0 0.0
201205  0o 0o 0o 1-  2o 1o 3- 1o    7+      4 0.1
201206  1+ 1o 1o 1o  2o 1o 2o 2+   12-      6 0.2
201207  1- 0o 0+ 1-  0o 1- 0o 0o    2+ Q4   1 0.0
201208  1- 2- 1+ 1o  1o 0o 0+ 1o    7o      4 0.1
201209  2- 3- 2o 0+  0+ 2- 3o 1+   13o      7 0.3
201210  3+ 2+ 1o 0+  1- 1- 1+ 2+   12o      7 0.3
201211  3- 2+ 1+ 1o  1- 1- 2o 1+   12o      6 0.3
201212  1+ 1- 1o 0+  0+ 1- 1o 2-    7o      4 0.1
201213  3o 1+ 0o 0o  1- 0+ 2- 1+    8+      4 0.2
201214  0o 0+ 0o 1-  0+ 1o 2- 1o    5o      3 0.0
201215  1+ 0o 1- 0o  0o 0o 1- 1o    4- Q7   2 0.0
201216  1o 0+ 0o 0o  0+ 1- 0+ 1-    3+ Q6   2 0.0
201217  1- 0+ 0o 0o  0o 0o 0o 0+    1+ Q2   1 0.0
201218  0+ 0o 0+ 0+  0+ 1- 0+ 0o    2+ Q3   2 0.0
201219  1+ 0+ 1o 2-  2o 1o 1+ 1o   10-      5 0.2
201220  1- 1- 1+ 1o  1+ 1+ 0+ 1+    8o      4 0.1
201221  3- 3+ 2+ 2o  2o 1- 2+ 4+   20- D2* 12 0.7
201222  3+ 3+ 3o 3-  3- 2+ 3o 2-   22o D1* 13 0.8
201223  3+ 4+ 2+ 2+  2- 1+ 1+ 2o   19- D3* 11 0.7
201224  1- 3- 2o 2o  3- 3o 1o 1+   15+ D4*  8 0.4
201225  2+ 1+ 1o 1-  2o 1o 0o 0o    8+      4 0.1
201226  0o 2- 1- 0+  1- 1- 2- 2o    8-      4 0.1
201227  2- 1+ 1- 2-  2- 1o 1o 2o   11o      5 0.2
201228  2o 2o 2+ 2o  2o 1o 2- 1+   14+      6 0.3
201229  2+ 3- 1- 1-  1- 1+ 1+ 2o   12-      6 0.3
201230  2+ 3- 2- 2o  2o 1o 1- 3-   15o D5*  8 0.4
201231  1+ 1o 0+ 1o  1- 0+ 0o 0+    5o Q9   3 0.0
2012                                  Mean  5 0.19

2012 Q  4  17  18   7   1  16  15   3  31   2 
2012 D 22* 21* 23* 24* 30*
